;Scopy version,f4beeb1
;Exported on,vendredi octobre 10/10/2025
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH2(V)
5425,-2.575,0.25023
5426,-2.574,0.25023
5427,-2.573,0.25023
5428,-2.572,0.25023
5429,-2.571,0.25023
5430,-2.57,0.25023
5431,-2.569,0.25023
5432,-2.568,0.25023
5433,-2.567,0.25023
5434,-2.566,0.25023
5435,-2.565,0.25023
5436,-2.564,0.25023
5437,-2.563,0.25023
5438,-2.562,0.25023
5439,-2.561,0.25023
5440,-2.56,0.25023
5441,-2.559,0.25023
5442,-2.558,0.25023
5443,-2.557,0.25023
5444,-2.556,0.25023
5445,-2.555,0.25023
5446,-2.554,0.25023
5447,-2.553,0.25023
5448,-2.552,0.25023
5449,-2.551,0.25023
5450,-2.55,0.25023
5451,-2.549,0.25023
5452,-2.548,0.25023
5453,-2.547,0.25023
5454,-2.546,0.25023
5455,-2.545,0.25023
5456,-2.544,0.25023
5457,-2.543,0.25023
5458,-2.542,0.25023
5459,-2.541,0.25023
5460,-2.54,0.25023
5461,-2.539,0.25023
5462,-2.538,0.25023
5463,-2.537,0.25023
5464,-2.536,0.25023
5465,-2.535,0.25023
5466,-2.534,0.25023
5467,-2.533,0.25023
5468,-2.532,0.25023
5469,-2.531,0.25023
5470,-2.53,0.25023
5471,-2.529,0.25023
5472,-2.528,0.25023
5473,-2.527,0.25023
5474,-2.526,0.25023
5475,-2.525,0.25023
5476,-2.524,0.25023
5477,-2.523,0.25023
5478,-2.522,0.25023
5479,-2.521,0.25023
5480,-2.52,0.25023
5481,-2.519,0.25023
5482,-2.518,0.25023
5483,-2.517,0.25023
5484,-2.516,0.25023
5485,-2.515,0.25023
5486,-2.514,0.25023
5487,-2.513,0.25023
5488,-2.512,0.25023
5489,-2.511,0.25023
5490,-2.51,0.25023
5491,-2.509,0.25023
5492,-2.508,0.25023
5493,-2.507,0.25023
5494,-2.506,0.25023
5495,-2.505,0.25023
5496,-2.504,0.25023
5497,-2.503,0.25023
5498,-2.502,0.25023
5499,-2.501,0.25023
5500,-2.5,0.25023
5501,-2.499,0.25023
5502,-2.498,0.25023
