;Scopy version,f4beeb1
;Exported on,lundi octobre 13/10/2025
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
439,-1.564,0.125841,-0.00538096
440,-1.563,0.125841,-0.00538096
441,-1.562,0.125841,-0.00538096
442,-1.561,0.125841,-0.00538096
443,-1.56,0.125841,-0.00538096
444,-1.559,0.125841,-0.00538096
445,-1.558,0.125841,-0.00364211
446,-1.557,0.125841,-0.00364211
447,-1.556,0.125841,-0.00364211
448,-1.555,0.125841,-0.00364211
449,-1.554,0.125841,-0.00364211
450,-1.553,0.125841,-0.00364211
451,-1.552,0.125841,-0.00364211
452,-1.551,0.125841,-0.00364211
453,-1.55,0.125841,-0.00364211
454,-1.549,0.125841,-0.00364211
455,-1.548,0.125841,-0.00364211
456,-1.547,0.125841,-0.00538096
457,-1.546,0.125841,-0.00538096
458,-1.545,0.125841,-0.00538096
459,-1.544,0.125841,-0.00538096
460,-1.543,0.125841,-0.00538096
461,-1.542,0.125841,-0.00538096
462,-1.541,0.125841,-0.00538096
463,-1.54,0.125841,-0.00538096
464,-1.539,0.125841,-0.00538096
465,-1.538,0.125841,-0.00538096
466,-1.537,0.125841,-0.00364211
467,-1.536,0.125841,-0.00364211
468,-1.535,0.125841,-0.00364211
469,-1.534,0.125841,-0.00364211
470,-1.533,0.125841,-0.00364211
471,-1.532,0.125841,-0.00364211
472,-1.531,0.125841,-0.00364211
473,-1.53,0.125841,-0.00364211
474,-1.529,0.125841,-0.00364211
475,-1.528,0.125841,-0.00364211
476,-1.527,0.125841,-0.00364211
477,-1.526,0.125841,-0.00538096
478,-1.525,0.125841,-0.00538096
479,-1.524,0.125841,-0.00538096
480,-1.523,0.125841,-0.00538096
481,-1.522,0.125841,-0.00538096
482,-1.521,0.125841,-0.00538096
483,-1.52,0.125841,-0.00538096
484,-1.519,0.125841,-0.00538096
485,-1.518,0.125841,-0.00364211
486,-1.517,0.125841,-0.00364211
487,-1.516,0.125841,-0.00364211
488,-1.515,0.125841,-0.00364211
489,-1.514,0.125841,-0.00364211
490,-1.513,0.125841,-0.00364211
491,-1.512,0.125841,-0.00364211
492,-1.511,0.125841,-0.00364211
493,-1.51,0.125841,-0.00364211
494,-1.509,0.125841,-0.00364211
495,-1.508,0.125841,-0.00364211
496,-1.507,0.125841,-0.00538096
497,-1.506,0.125841,-0.00538096
498,-1.505,0.125841,-0.00538096
499,-1.504,0.125841,-0.00538096
500,-1.503,0.125841,-0.00538096
501,-1.502,0.125841,-0.00538096
502,-1.501,0.125841,-0.00538096
503,-1.5,0.125841,-0.00538096
504,-1.499,0.125841,-0.00538096
505,-1.498,0.125841,-0.00364211
506,-1.497,0.125841,-0.00538096
507,-1.496,0.125841,-0.00364211
508,-1.495,0.125841,-0.00364211
509,-1.494,0.125841,-0.00364211
510,-1.493,0.125841,-0.00364211
511,-1.492,0.125841,-0.00364211
512,-1.491,0.125841,-0.00364211
513,-1.49,0.125841,-0.00364211
514,-1.489,0.125841,-0.00190326
515,-1.488,0.125841,-0.00364211
516,-1.487,0.125841,-0.00538096
517,-1.486,0.125841,-0.00538096
518,-1.485,0.125841,-0.00538096
519,-1.484,0.125841,-0.00538096
520,-1.483,0.125841,-0.00538096
521,-1.482,0.125841,-0.00538096
522,-1.481,0.125841,-0.00538096
523,-1.48,0.125841,-0.00538096
524,-1.479,0.125841,-0.00538096
525,-1.478,0.125841,-0.00538096
526,-1.477,0.125841,-0.00364211
527,-1.476,0.125841,-0.00364211
528,-1.475,0.125841,-0.00364211
529,-1.474,0.125841,-0.00364211
530,-1.473,0.125841,-0.00364211
531,-1.472,0.125841,-0.00364211
532,-1.471,0.125841,-0.00364211
533,-1.47,0.125841,-0.00364211
534,-1.469,0.125841,-0.00364211
535,-1.468,0.125841,-0.00364211
536,-1.467,0.125841,-0.00364211
537,-1.466,0.125841,-0.00538096
538,-1.465,0.125841,-0.00538096
539,-1.464,0.125841,-0.00538096
540,-1.463,0.125841,-0.00538096
541,-1.462,0.125841,-0.00538096
542,-1.461,0.125841,-0.00538096
543,-1.46,0.125841,-0.00538096
544,-1.459,0.125841,-0.00364211
545,-1.458,0.125841,-0.00364211
546,-1.457,0.125841,-0.00364211
547,-1.456,0.125841,-0.00364211
548,-1.455,0.125841,-0.00364211
549,-1.454,0.125841,-0.00364211
550,-1.453,0.125841,-0.00364211
551,-1.452,0.125841,-0.00364211
552,-1.451,0.125841,-0.00364211
553,-1.45,0.125841,-0.00364211
554,-1.449,0.125841,-0.00364211
555,-1.448,0.125841,-0.00364211
556,-1.447,0.125841,-0.00364211
557,-1.446,0.125841,-0.00538096
558,-1.445,0.125841,-0.00538096
559,-1.444,0.125841,-0.00538096
560,-1.443,0.125841,-0.00538096
561,-1.442,0.125841,-0.00538096
562,-1.441,0.125841,-0.00538096
563,-1.44,0.125841,-0.00538096
564,-1.439,0.125841,-0.00538096
565,-1.438,0.125841,-0.00538096
566,-1.437,0.125841,-0.00364211
567,-1.436,0.125841,-0.00538096
568,-1.435,0.125841,-0.00190326
569,-1.434,0.125841,-0.00364211
570,-1.433,0.125841,-0.00364211
571,-1.432,0.125841,-0.00364211
572,-1.431,0.125841,-0.00364211
573,-1.43,0.125841,-0.00364211
574,-1.429,0.125841,-0.00364211
575,-1.428,0.125841,-0.00364211
576,-1.427,0.125841,-0.00364211
577,-1.426,0.125841,-0.00538096
578,-1.425,0.125841,-0.00538096
579,-1.424,0.125841,-0.00538096
580,-1.423,0.125841,-0.00538096
581,-1.422,0.125841,-0.00538096
582,-1.421,0.125841,-0.00538096
583,-1.42,0.125841,-0.00538096
584,-1.419,0.125841,-0.00538096
585,-1.418,0.125841,-0.00364211
586,-1.417,0.125841,-0.00364211
587,-1.416,0.125841,-0.00364211
588,-1.415,0.125841,-0.00364211
589,-1.414,0.125841,-0.00364211
590,-1.413,0.125841,-0.00364211
591,-1.412,0.125841,-0.00364211
592,-1.411,0.125841,-0.00364211
593,-1.41,0.125841,-0.00364211
594,-1.409,0.125841,-0.00364211
595,-1.408,0.125841,-0.00364211
596,-1.407,0.125841,-0.00538096
597,-1.406,0.125841,-0.00538096
598,-1.405,0.125841,-0.00538096
599,-1.404,0.125841,-0.00538096
600,-1.403,0.125841,-0.00538096
601,-1.402,0.125841,-0.00538096
602,-1.401,0.125841,-0.00538096
603,-1.4,0.125841,-0.00538096
604,-1.399,0.125841,-0.00538096
605,-1.398,0.125841,-0.00364211
606,-1.397,0.125841,-0.00364211
607,-1.396,0.125841,-0.00364211
608,-1.395,0.125841,-0.00364211
609,-1.394,0.125841,-0.00364211
610,-1.393,0.125841,-0.00364211
611,-1.392,0.125841,-0.00364211
612,-1.391,0.125841,-0.00364211
613,-1.39,0.125841,-0.00364211
614,-1.389,0.125841,-0.00364211
615,-1.388,0.125841,-0.00364211
616,-1.387,0.125841,-0.00538096
617,-1.386,0.125841,-0.00538096
618,-1.385,0.125841,-0.00538096
619,-1.384,0.125841,-0.00538096
620,-1.383,0.125841,-0.00538096
621,-1.382,0.125841,-0.00538096
622,-1.381,0.125841,-0.00538096
623,-1.38,0.125841,-0.00538096
624,-1.379,0.125841,-0.00538096
625,-1.378,0.125841,-0.00364211
626,-1.377,0.125841,-0.00364211
627,-1.376,0.125841,-0.00364211
628,-1.375,0.125841,-0.00364211
629,-1.374,0.125841,-0.00364211
630,-1.373,0.125841,-0.00364211
631,-1.372,0.125841,-0.00364211
632,-1.371,0.125841,-0.00364211
633,-1.37,0.125841,-0.00364211
634,-1.369,0.125841,-0.00364211
635,-1.368,0.125841,-0.00364211
636,-1.367,0.125841,-0.00364211
637,-1.366,0.125841,-0.00538096
638,-1.365,0.125841,-0.00538096
639,-1.364,0.125841,-0.00538096
640,-1.363,0.125841,-0.00538096
641,-1.362,0.125841,-0.00538096
642,-1.361,0.125841,-0.00538096
643,-1.36,0.125841,-0.00538096
644,-1.359,0.125841,-0.00538096
645,-1.358,0.125841,-0.00364211
646,-1.357,0.125841,-0.00364211
647,-1.356,0.125841,-0.00364211
648,-1.355,0.125841,-0.00364211
649,-1.354,0.125841,-0.00364211
650,-1.353,0.125841,-0.00364211
651,-1.352,0.125841,-0.00364211
652,-1.351,0.125841,-0.00364211
653,-1.35,0.125841,-0.00364211
654,-1.349,0.125841,-0.00364211
655,-1.348,0.125841,-0.00364211
656,-1.347,0.125841,-0.00364211
657,-1.346,0.125841,-0.00538096
658,-1.345,0.125841,-0.00538096
659,-1.344,0.125841,-0.00538096
660,-1.343,0.125841,-0.00538096
661,-1.342,0.125841,-0.00538096
662,-1.341,0.125841,-0.00538096
663,-1.34,0.125841,-0.00538096
664,-1.339,0.125841,-0.00538096
665,-1.338,0.125841,-0.00364211
666,-1.337,0.125841,-0.00364211
667,-1.336,0.125841,-0.00364211
668,-1.335,0.125841,-0.00364211
669,-1.334,0.125841,-0.00364211
670,-1.333,0.125841,-0.00364211
671,-1.332,0.125841,-0.00364211
672,-1.331,0.125841,-0.00364211
673,-1.33,0.125841,-0.00364211
674,-1.329,0.125841,-0.00364211
675,-1.328,0.125841,-0.00364211
676,-1.327,0.125841,-0.00364211
677,-1.326,0.125841,-0.00538096
678,-1.325,0.125841,-0.00538096
679,-1.324,0.125841,-0.00538096
680,-1.323,0.125841,-0.00538096
681,-1.322,0.125841,-0.00538096
682,-1.321,0.125841,-0.00538096
683,-1.32,0.125841,-0.00538096
684,-1.319,0.125841,-0.00364211
685,-1.318,0.125841,-0.00364211
686,-1.317,0.125841,-0.00364211
687,-1.316,0.125841,-0.00364211
688,-1.315,0.125841,-0.00364211
689,-1.314,0.125841,-0.00364211
690,-1.313,0.125841,-0.00364211
691,-1.312,0.125841,-0.00364211
692,-1.311,0.125841,-0.00364211
693,-1.31,0.125841,-0.00364211
694,-1.309,0.125841,-0.00364211
695,-1.308,0.125841,-0.00364211
696,-1.307,0.125841,-0.00364211
697,-1.306,0.125841,-0.00538096
698,-1.305,0.125841,-0.00538096
699,-1.304,0.125841,-0.00538096
700,-1.303,0.125841,-0.00538096
701,-1.302,0.125841,-0.00538096
702,-1.301,0.125841,-0.00538096
703,-1.3,0.125841,-0.00538096
704,-1.299,0.125841,-0.00364211
705,-1.298,0.125841,-0.00364211
706,-1.297,0.125841,-0.00364211
707,-1.296,0.125841,-0.00364211
708,-1.295,0.125841,-0.00364211
709,-1.294,0.125841,-0.00364211
710,-1.293,0.125841,-0.00364211
711,-1.292,0.125841,-0.00364211
712,-1.291,0.125841,-0.00364211
713,-1.29,0.125841,-0.00364211
